Mã chứng khoán,Sàn giao dịch,Tên công ty,Ngành nghề
LG9,UPCOM,Công ty Cổ phần Cơ giới và Xây lắp số 9,Xây dựng và Vật liệu
LGC,HSX,Công ty Cổ phần Đầu tư Cầu đường CII,Xây dựng và Vật liệu
LGL,HSX,Công ty Cổ phần Đầu tư và Phát triển Đô thị Long Giang,Bất động sản
LGM,UPCOM,Công ty Cổ phần Giày da và May mặc Xuất khẩu (Legamex),Hàng cá nhân
LHC,HNX,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Xây dựng và Vật liệu
LHG,HSX,Công ty Cổ phần Long Hậu,Bất động sản
LIC,UPCOM,Tổng Công ty LICOGI - Công ty Cổ phần,Xây dựng và Vật liệu
LIG,HNX,Công ty Cổ phần Licogi 13,Xây dựng và Vật liệu
LIX,HSX,Công ty Cổ phần Bột Giặt LiX,Hàng cá nhân
LKW,UPCOM,Công ty Cổ phần Cấp nước Long Khánh,Nước & Khí đốt
LLM,UPCOM,Tổng Công ty lắp máy Việt Nam - Công ty Cổ phần,Công nghiệp nặng
LM3,UPCOM,Công ty Cổ phần Lilama 3,Xây dựng và Vật liệu
LM7,UPCOM,Công ty Cổ phần Lilama 7,Công nghiệp nặng
LM8,HSX,Công ty Cổ phần Lilama 18,Xây dựng và Vật liệu
LMC,UPCOM,Công ty Cổ phần Long Beach LMC,Khai khoáng
LMH,UPCOM,Công ty Cổ phần Quốc Tế Holding,Bất động sản
LMI,UPCOM,Công ty Cổ phần Đầu tư Xây dựng Lắp máy IDICO,Công nghiệp nặng
LNC,UPCOM,Công ty Cổ phần Lệ Ninh,Hóa chất
LO5,UPCOM,Công ty Cổ phần Lilama 5,Công nghiệp nặng
LPB,HSX,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,Ngân hàng
LPT,UPCOM,Công ty Cổ phần Thương mại và Sản xuất Lập Phương Thành,Tư vấn & Hỗ trợ Kinh doanh
LQN,UPCOM,Công ty Cổ phần Licogi Quảng Ngãi,Xây dựng và Vật liệu
LSG,UPCOM,Công ty Cổ phần Bất động sản Sài Gòn Vi na,Bất động sản
LSS,HSX,Công ty Cổ phần Mía đường Lam Sơn,Sản xuất thực phẩm
LTC,UPCOM,Công ty Cổ phần Điện nhẹ Viễn Thông,Thiết bị và Phần cứng
LTG,UPCOM,Công ty Cổ phần Tập đoàn Lộc Trời,Sản xuất thực phẩm
LUT,UPCOM,Công ty Cổ phần Đầu tư Xây dựng Lương Tài,Xây dựng và Vật liệu
M10,UPCOM,Tổng công ty May 10 - Công ty Cổ phần,Hàng cá nhân
MA1,UPCOM,Công ty Cổ phần Thiết bị,Bất động sản
MAC,HNX,Công ty Cổ phần Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,Công nghiệp nặng
MAS,HNX,Công ty cổ phần Dịch vụ Hàng Không Sân Bay Đà Nẵng,Du lịch & Giải trí
MBB,HSX,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng
MBG,HNX,Công ty Cổ phần Tập đoàn MBG,Xây dựng và Vật liệu
MBN,UPCOM,Công ty Cổ phần Môi trường và Công trình đô thị Bắc Ninh,Tư vấn & Hỗ trợ Kinh doanh
MBS,HNX,Công ty Cổ phần Chứng khoán MB,Dịch vụ tài chính
MBT,UPCOM,Công ty Cổ phần Bất động sản cho thuê Minh Bảo Tín,Bất động sản
MCC,HNX,Công ty Cổ phần Gạch ngói cao cấp,Xây dựng và Vật liệu
MCF,HNX,Công ty Cổ phần Xây lắp Cơ khí và Lương thực Thực phẩm,Sản xuất thực phẩm
MCG,UPCOM,Công ty Cổ phần Năng lượng và Bất động sản MCG,Xây dựng và Vật liệu
MCH,UPCOM,Công ty Cổ phần Hàng Tiêu Dùng MaSan,Sản xuất thực phẩm
MCM,HSX,Công ty Cổ phần Giống bò sữa Mộc Châu,Sản xuất thực phẩm
MCO,HNX,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,Xây dựng và Vật liệu
MCP,HSX,Công ty Cổ phần In và Bao bì Mỹ Châu,Hàng công nghiệp
MDA,UPCOM,Công ty Cổ phần Môi trường Đô thị Đông Anh,Tư vấn & Hỗ trợ Kinh doanh
MDC,HNX,Công ty Cổ phần Than Mông Dương - Vinacomin,Khai khoáng
MDF,UPCOM,Công ty Cổ phần Gỗ MDF VRG - Quảng Trị,Lâm nghiệp và Giấy
MDG,HSX,Công ty Cổ phần Miền Đông,Xây dựng và Vật liệu
MEC,UPCOM,Công ty Cổ phần Cơ khí - Lắp máy Sông Đà,Xây dựng và Vật liệu
MED,HNX,Công ty Cổ phần Dược Trung ương Mediplantex,Dược phẩm
MEF,UPCOM,Công ty Cổ phần MEINFA,Thiết bị và Dịch vụ Y tế
MEL,HNX,Công ty Cổ phần Thép Mê Lin,Kim loại
MES,UPCOM,Công ty Cổ phần Cơ điện Công trình,Xây dựng và Vật liệu
MFS,UPCOM,Công ty Cổ phần Dịch vụ kỹ thuật Mobifone,Viễn thông di động
MGC,UPCOM,Công ty Cổ phần Địa chất mỏ - TKV,Khai khoáng
MGG,UPCOM,Tổng Công ty Đức Giang - Công ty Cổ phần,Hàng cá nhân
MGR,UPCOM,Công ty cổ phần Tập đoàn MGROUP,Bất động sản
MH3,UPCOM,Công ty Cổ phần Khu công nghiệp Cao su Bình Long,Bất động sản
MHC,HSX,Công ty Cổ phần MHC,Vận tải
MHL,UPCOM,Công ty Cổ phần Minh Hữu Liên,Kim loại
MIC,HNX,Công ty Cổ phần Kỹ nghệ Khoáng sản Quảng Nam,Khai khoáng
MIE,UPCOM,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,Công nghiệp nặng
MIG,HSX,Tổng Công ty Cổ phần Bảo hiểm Quân đội,Bảo hiểm phi nhân thọ
MIM,UPCOM,Công ty Cổ phần Khoáng sản và Cơ khí,Khai khoáng
MKP,UPCOM,Công ty Cổ phần Hóa - Dược phẩm Mekophar,Dược phẩm
MKV,HNX,Công ty Cổ phần Dược Thú Y Cai Lậy,Dược phẩm
MLC,UPCOM,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai,Tư vấn & Hỗ trợ Kinh doanh
MLS,UPCOM,Công ty Cổ phần Chăn nuôi - Mitraco,Sản xuất thực phẩm
MML,UPCOM,Công ty Cổ phần Masan MEATLife,Sản xuất thực phẩm
MNB,UPCOM,Tổng Công ty May Nhà Bè - Công ty Cổ phần,Hàng cá nhân
MND,UPCOM,Công ty Cổ phần Môi trường Nam Định,Tư vấn & Hỗ trợ Kinh doanh
MPC,UPCOM,Công ty Cổ phần Tập đoàn Thủy sản Minh Phú,Sản xuất thực phẩm
MPT,UPCOM,Công ty Cổ phần Tập đoàn MPT,Hàng cá nhân
MPY,UPCOM,Công ty Cổ phần Môi trường đô thị Phú Yên,Tư vấn & Hỗ trợ Kinh doanh
MQB,UPCOM,Công ty Cổ phần Môi trường và Phát triển đô thị Quảng Bình,Tư vấn & Hỗ trợ Kinh doanh
MQN,UPCOM,Công ty Cổ phần Môi trường đô thị Quảng Ngãi,Tư vấn & Hỗ trợ Kinh doanh
MRF,UPCOM,Công ty Cổ phần MERUFA,Thiết bị và Dịch vụ Y tế
MSB,HSX,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng
MSH,HSX,Công ty Cổ phần May Sông Hồng,Hàng cá nhân
MSN,HSX,Công ty Cổ phần Tập đoàn Masan,Sản xuất thực phẩm
MSR,UPCOM,Công ty Cổ phần Masan High-Tech Materials,Khai khoáng
MST,HNX,Công ty Cổ phần Đầu tư MST,Xây dựng và Vật liệu
MTA,UPCOM,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - Công ty Cổ phần,Khai khoáng
MTB,UPCOM,Công ty Cổ phần Môi trường và Công trình đô thị tỉnh Thái Bình,Tư vấn & Hỗ trợ Kinh doanh
MTC,UPCOM,Công ty Cổ phần Dịch vụ Du lịch Mỹ Trà,Du lịch & Giải trí
MTG,UPCOM,Công ty Cổ phần MT Gas,Nước & Khí đốt
MTH,UPCOM,Công ty Cổ phần Môi trường Đô thị Hà Đông,Tư vấn & Hỗ trợ Kinh doanh
MTL,UPCOM,Công ty Cổ phần Dịch vụ Môi trường Đô thị Từ Liêm,Tư vấn & Hỗ trợ Kinh doanh
MTP,UPCOM,Công ty Cổ phần Dược Medipharco,Dược phẩm
MTS,UPCOM,Công ty Cổ phần Vật tư - TKV,Tư vấn & Hỗ trợ Kinh doanh
MTV,UPCOM,Công ty Cổ phần Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Tư vấn & Hỗ trợ Kinh doanh
MTX,UPCOM,Công ty Cổ phần Công trình Đô thị Gò Công,Tư vấn & Hỗ trợ Kinh doanh
MVB,HNX,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - Công ty Cổ phần,Khai khoáng
MVC,UPCOM,Công ty Cổ phần Vật liệu và Xây dựng Bình Dương,Xây dựng và Vật liệu
MVN,UPCOM,Tổng Công ty Hàng hải Việt Nam - CTCP,Vận tải
MWG,HSX,Công ty Cổ phần Đầu tư Thế Giới Di Động,Bán lẻ
MZG,UPCOM,Công ty Cổ Phần Miza,Lâm nghiệp và Giấy
NAB,HSX,Ngân hàng Thương mại Cổ phần Nam Á,Ngân hàng
NAC,UPCOM,Công ty Cổ phần Tư vấn Xây dựng Tổng hợp,Xây dựng và Vật liệu
NAF,HSX,Công ty Cổ phần Nafoods Group,Bia và đồ uống
NAG,HNX,Công ty Cổ phần Tập đoàn Nagakawa,Điện tử & Thiết bị điện
NAP,HNX,Công ty Cổ phần Cảng Nghệ Tĩnh,Vận tải
NAS,UPCOM,Công ty Cổ phần Dịch vụ Hàng không Sân bay Nội Bài,Vận tải
NAU,UPCOM,Công ty Cổ phần Môi trường và Công trình Đô thị Nghệ An,Tư vấn & Hỗ trợ Kinh doanh
NAV,HSX,Công ty Cổ phần Nam Việt,Xây dựng và Vật liệu
NAW,UPCOM,Công ty Cổ phần Cấp nước Nghệ An,Nước & Khí đốt
NBB,HSX,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Bất động sản
NBC,HNX,Công ty Cổ phần Than Núi Béo - Vinacomin,Khai khoáng
NBE,UPCOM,Công ty Cổ phần Sách và Thiết bị Giáo dục Miền Bắc,Truyền thông
NBP,HNX,Công ty Cổ phần Nhiệt Điện Ninh Bình,Sản xuất & Phân phối Điện
NBT,UPCOM,Công ty Cổ phần Cấp thoát nước Bến Tre,Nước & Khí đốt
NBW,HNX,Công ty Cổ phần Cấp nước Nhà Bè,Nước & Khí đốt
NCG,UPCOM,Công ty Cổ phần Tập đoàn Nova Consumer,Sản xuất thực phẩm
NCS,UPCOM,Công ty Cổ phần Suất ăn Hàng không Nội Bài,Sản xuất thực phẩm
NCT,HSX,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Vận tải
ND2,UPCOM,Công ty Cổ phần Đầu tư và Phát triển điện Miền Bắc 2,Sản xuất & Phân phối Điện
NDC,UPCOM,Công ty Cổ phần Nam Dược,Dược phẩm
NDF,UPCOM,Công ty Cổ phần Chế biến thực phẩm nông sản xuất khẩu Nam Định,Sản xuất thực phẩm
NDN,HNX,Công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,Bất động sản
NDP,UPCOM,Công ty Cổ phần Dược phẩm 2/9,Dược phẩm
NDT,UPCOM,Tổng Công ty Cổ phần Dệt may Nam Định,Hàng cá nhân
NDW,UPCOM,Công ty Cổ phần Cấp nước Nam Định,Nước & Khí đốt
NDX,HNX,Công ty Cổ phần Xây lắp Phát triển Nhà Đà Nẵng,Xây dựng và Vật liệu
NED,UPCOM,Công ty Cổ phần Đầu tư và Phát triển Điện Tây Bắc,Xây dựng và Vật liệu
NEM,UPCOM,Công ty Cổ phần Thiết bị Điện Miền Bắc,Điện tử & Thiết bị điện
NET,HNX,Công ty Cổ phần Bột giặt Net,Hàng cá nhân
NFC,HNX,Công ty Cổ phần Phân lân Ninh Bình,Hóa chất
NGC,UPCOM,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Ngô Quyền,Sản xuất thực phẩm
NHA,HSX,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Xây dựng và Vật liệu
NHC,HNX,Công ty Cổ phần Gạch ngói Nhị Hiệp,Xây dựng và Vật liệu
NHH,HSX,Công ty Cổ phần Nhựa Hà Nội,Hóa chất
NHP,UPCOM,Công ty Cổ phần Sản xuất Xuất nhập khẩu NHP,Hàng công nghiệp
NHT,HSX,Công ty Cổ phần Sản xuất và Thương mại Nam Hoa,Hàng hóa giải trí
NHV,UPCOM,Công ty Cổ phần Sức khỏe Hồi sinh Việt Nam,Kim loại
NJC,UPCOM,Công ty Cổ phần May Nam Định,Hàng cá nhân
NKG,HSX,Công ty Cổ phần Thép Nam Kim,Kim loại
NLG,HSX,Công ty Cổ phần Đầu tư Nam Long,Bất động sản
NLS,UPCOM,Công ty Cổ phần Cấp thoát nước Lạng Sơn,Nước & Khí đốt
NNC,HSX,Công ty Cổ phần Đá Núi Nhỏ,Xây dựng và Vật liệu
NNT,UPCOM,Công ty Cổ phần Cấp nước Ninh Thuận,Nước & Khí đốt
NO1,HSX,Công ty Cổ phần Tâp đoàn 911,Công nghiệp nặng
NOS,UPCOM,Công ty Cổ phần Vận tải Biển và Thương mại Phương Đông,Vận tải
NQB,UPCOM,Công ty Cổ phần Cấp nước Quảng Bình,Nước & Khí đốt
NQN,UPCOM,Công ty Cổ phần Nước sạch Quảng Ninh,Nước & Khí đốt
NQT,UPCOM,Công ty Cổ phần Nước sạch Quảng Trị,Nước & Khí đốt
NRC,HNX,Công ty Cổ phần Tập đoàn Danh Khôi,Bất động sản
NS2,UPCOM,Công ty Cổ phần Nước sạch số 2 Hà Nội,Nước & Khí đốt
NSC,HSX,Công ty Cổ phần Tập đoàn Giống cây trồng Việt Nam,Sản xuất thực phẩm
NSG,UPCOM,Công ty Cổ phần Nhựa Sài Gòn,Hóa chất
NSH,HNX,Công ty Cổ phần Tập đoàn Nhôm Sông Hồng Shalumi,Kim loại
NSL,UPCOM,Công ty Cổ phần Cấp nước Sơn La,Nước & Khí đốt
NSS,UPCOM,Công ty Cổ phần Nông súc sản Đồng Nai,Sản xuất thực phẩm
NST,HNX,Công ty Cổ phần Ngân Sơn,Thuốc lá
NT2,HSX,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Sản xuất & Phân phối Điện
NTB,UPCOM,Công ty Cổ phần Đầu tư Xây dựng và Khai thác Công trình giao thông 584,Bất động sản
NTC,UPCOM,Công ty Cổ phần Khu Công nghiệp Nam Tân Uyên,Bất động sản
NTF,UPCOM,Công ty Cổ phần Dược - Vật tư y tế Nghệ An,Dược phẩm
NTH,HNX,Công ty Cổ phần Thủy điện Nước Trong,Sản xuất & Phân phối Điện
NTL,HSX,Công ty Cổ phần Phát triển Đô thị Từ Liêm,Bất động sản
NTP,HNX,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,Xây dựng và Vật liệu
NTT,UPCOM,Công ty Cổ phần Dệt - May Nha Trang,Hàng cá nhân
NTW,UPCOM,Công ty Cổ phần Cấp nước Nhơn Trạch,Nước & Khí đốt
NUE,UPCOM,Công ty Cổ phần Môi trường Đô thị Nha Trang,Tư vấn & Hỗ trợ Kinh doanh
NVB,HNX,Ngân hàng Thương mại Cổ phần Quốc Dân,Ngân hàng
NVL,HSX,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Bất động sản
NVP,UPCOM,Công ty Cổ phần Nước sạch Vĩnh Phúc,Nước & Khí đốt
NVT,HSX,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,Bất động sản
NWT,UPCOM,Công ty Cổ phần Vận tải Newway,Du lịch & Giải trí
NXT,UPCOM,Công ty Cổ phần Sản xuất và Cung ứng vật liệu xây dựng Kon Tum,Xây dựng và Vật liệu
OCB,HSX,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng
OCH,HNX,Công ty Cổ phần One Capital Hospitality,Sản xuất thực phẩm
ODE,UPCOM,Công ty cổ phần Tập đoàn Truyền thông và Giải trí ODE,Truyền thông
OGC,HSX,Công ty Cổ phần Tập đoàn Đại Dương,Dịch vụ tài chính
OIL,UPCOM,Tổng Công ty Dầu Việt Nam - Công ty Cổ phần,Sản xuất Dầu khí
ONE,HNX,Công ty Cổ phần Công nghệ ONE,Thiết bị và Phần cứng
ONW,UPCOM,Công ty Cổ phần Dịch vụ Một Thế giới,Du lịch & Giải trí
OPC,HSX,Công ty Cổ phần Dược Phẩm OPC,Dược phẩm
ORS,HSX,Công ty Cổ phần Chứng khoán Tiên Phong,Dịch vụ tài chính
PAC,HSX,Công ty Cổ phần Pin Ắc quy Miền Nam,Điện tử & Thiết bị điện
PAI,UPCOM,"Công ty Cổ phần Công nghê thông tin, Viễn thông và Tự động hóa Dầu khí",Viễn thông cố định
PAN,HSX,Công ty Cổ phần Tập đoàn PAN,Sản xuất thực phẩm
PAP,UPCOM,Công ty Cổ phần Dầu khí đầu tư khai thác Cảng Phước An,Vận tải
PAS,UPCOM,Công ty Cổ phần Quốc tế Phương Anh,Kim loại
PAT,UPCOM,Công ty Cổ phần Phốt pho Apatit Việt Nam,Hóa chất
PBC,UPCOM,Công ty Cổ phần Dược Phẩm Trung ương 1 - Pharbaco,Dược phẩm
PBP,HNX,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Hàng công nghiệp
PBT,UPCOM,Công ty Cổ Phần Bao bì và Thương mại Dầu khí Bình Sơn,Hàng công nghiệp
PC1,HSX,Công ty Cổ phần Tập đoàn PC1,Xây dựng và Vật liệu
PCC,UPCOM,Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolimex,Xây dựng và Vật liệu
PCE,HNX,Công ty Cổ phần Phân bón và hóa chất dầu khí Miền Trung,Hóa chất
PCF,UPCOM,Công ty Cổ phần Cà phê PETEC,Bia và đồ uống
PCG,HNX,Công ty Cổ phần Đầu tư Phát triển Gas Đô thị,Nước & Khí đốt
PCH,HNX,Công ty Cổ phần Nhựa Picomat,Hóa chất
PCM,UPCOM,Công ty Cổ phần Vật liệu Xây dựng Bưu điện,Xây dựng và Vật liệu
PCT,HNX,Công ty Cổ phần Vận tải Biển Global Pacific,Vận tải
PDB,HNX,Công ty Cổ phần Tập đoàn Đầu tư DIN Capital,Xây dựng và Vật liệu
PDC,UPCOM,Công ty Cổ phần Du lịch Dầu khí Phương Đông,Du lịch & Giải trí
PDN,HSX,Công ty Cổ phần Cảng Đồng Nai,Vận tải
PDR,HSX,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Bất động sản
PDV,UPCOM,Công ty Cổ phần Vận tải và Tiếp vận Phương Đông Việt,Vận tải
PEC,UPCOM,Công ty Cổ phần Cơ khí Điện lực,Công nghiệp nặng
PEG,UPCOM,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - Công ty Cổ phần,Nước & Khí đốt
PEN,HNX,Công ty Cổ phần Xây lắp III Petrolimex,Xây dựng và Vật liệu
PEQ,UPCOM,Công ty Cổ phần Thiết bị xăng dầu Petrolimex,"Thiết bị, Dịch vụ và Phân phối Dầu khí"
PET,HSX,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Bán lẻ
PFL,UPCOM,Công ty Cổ phần Dầu khí Đông Đô,Xây dựng và Vật liệu
PGB,UPCOM,Ngân hàng Thương mại Cổ phần Thịnh vượng và Phát triển,Ngân hàng
PGC,HSX,Tổng Công ty Gas Petrolimex - Công ty Cổ phần,Nước & Khí đốt
PGD,HSX,Công ty Cổ phần Phân phối khí thấp áp dầu khí Việt Nam,Nước & Khí đốt
PGI,HSX,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm phi nhân thọ
PGN,HNX,Công ty Cổ phần Phụ Gia Nhựa,Hóa chất
PGS,HNX,Công ty Cổ phần Kinh doanh Khí Miền Nam,Nước & Khí đốt
PGT,HNX,Công ty Cổ phần PGT Holdings,Du lịch & Giải trí
PGV,HSX,Tổng Công ty Phát điện 3 - Công ty Cổ phần,Sản xuất & Phân phối Điện
PHC,HSX,Công ty Cổ phần Xây dựng Phục Hưng Holdings,Xây dựng và Vật liệu
PHH,UPCOM,Công ty Cổ phần Hồng Hà Việt Nam,Xây dựng và Vật liệu
PHN,HNX,Công ty Cổ phần Pin Hà Nội,Điện tử & Thiết bị điện
PHP,UPCOM,Công ty Cổ phần Cảng Hải Phòng,Vận tải
PHR,HSX,Công ty Cổ phần Cao su Phước Hòa,Hóa chất
PHS,UPCOM,Công ty Cổ phần Chứng khoán Phú Hưng,Dịch vụ tài chính
PIA,HNX,Công ty Cổ phần Tin học Viễn thông Petrolimex,Viễn thông cố định
PIC,HNX,Công ty Cổ phần Đầu tư Điện lực 3,Sản xuất & Phân phối Điện
PID,UPCOM,Công ty Cổ phần Trang trí nội thất Dầu khí,Xây dựng và Vật liệu
PIS,UPCOM,Tổng Công ty Pisico Bình Định - Công ty Cổ phần,Lâm nghiệp và Giấy
PIT,HSX,Công ty Cổ phần Xuất nhập khẩu Petrolimex,Bán lẻ
PIV,UPCOM,Công ty Cổ phần PIV,Bất động sản
PJC,HNX,Công ty Cổ phần Thương mại và Vận tải Petrolimex Hà Nội,Nước & Khí đốt
PJS,UPCOM,Công ty Cổ phần Cấp nước Phú Hòa Tân,Nước & Khí đốt
PJT,HSX,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,Vận tải
PLA,UPCOM,Công ty Cổ phần Đầu tư và Dịch vụ hạ tầng Xăng dầu,Bất động sản
PLC,HNX,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,Hóa chất
PLE,UPCOM,Công ty Cổ phần Tư vấn Xây dựng Petrolimex,Xây dựng và Vật liệu
PLO,UPCOM,Công ty Cổ phần Kho vận Petec,Vận tải
PLP,HSX,Công ty Cổ phần Sản xuất và Công nghệ Nhựa Pha Lê,Hóa chất
PLX,HSX,Tập đoàn Xăng dầu Việt Nam,Sản xuất Dầu khí
PMB,HNX,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Hóa chất
PMC,HNX,Công ty Cổ phần Dược phẩm Dược liệu Pharmedic,Dược phẩm
PMG,HSX,Công ty Cổ phần Đầu tư và Sản xuất Petro Miền Trung,Nước & Khí đốt
PMJ,UPCOM,Công ty Cổ phần Vật tư Bưu điện,Thiết bị và Phần cứng
PMP,HNX,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Hàng công nghiệp
PMS,HNX,Công ty Cổ phần Cơ khí Xăng dầu,Công nghiệp nặng
PMT,UPCOM,Công ty Cổ phần Viễn thông Telvina Việt Nam,Thiết bị và Phần cứng
PMW,UPCOM,Công ty Cổ phần Cấp Nước Phú Mỹ,Nước & Khí đốt
PNC,HSX,Công ty Cổ phần Văn hóa Phương Nam,Truyền thông
PND,UPCOM,Công ty Cổ phần Xăng dầu Dầu khí Nam Định,Nước & Khí đốt
PNG,UPCOM,Công ty Cổ phần Thương Mại Phú Nhuận,Du lịch & Giải trí
PNJ,HSX,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Hàng cá nhân
PNP,UPCOM,Công ty Cổ phần Tân Cảng – Phú Hữu,Vận tải
PNT,UPCOM,Công ty Cổ phần Kỹ thuật Xây dựng Phú Nhuận,Xây dựng và Vật liệu
POB,UPCOM,Công ty Cổ phần Xăng dầu Dầu khí Thái Bình,Nước & Khí đốt
POM,UPCOM,Công ty Cổ phần Thép Pomina,Kim loại
POS,UPCOM,"Công ty Cổ phần Dịch vụ lắp đặt, vận hành và bảo dưỡng công trình dầu khí biển PTSC","Thiết bị, Dịch vụ và Phân phối Dầu khí"
POT,HNX,Công ty Cổ phần Thiết bị Bưu điện,Thiết bị và Phần cứng
POV,UPCOM,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Nước & Khí đốt
POW,HSX,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Sản xuất & Phân phối Điện
PPC,HSX,Công ty Cổ phần Nhiệt điện Phả Lại,Sản xuất & Phân phối Điện
PPE,HNX,Công ty Cổ phần Tư vấn Đầu tư PP Enterprise,Tư vấn & Hỗ trợ Kinh doanh
PPH,UPCOM,Tổng Công ty Cổ phần Phong Phú,Hàng cá nhân
PPI,UPCOM,Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương,Bất động sản
PPP,HNX,Công ty Cổ phần Dược phẩm Phong Phú,Dược phẩm
PPS,HNX,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Tư vấn & Hỗ trợ Kinh doanh
PPT,HNX,Công ty cổ phần Petro Times,Nước & Khí đốt
PPY,HNX,Công ty Cổ phần Xăng dầu dầu khí Phú Yên,Nước & Khí đốt
PQN,UPCOM,Công ty Cổ phần Dịch vụ Dầu khí Quảng Ngãi PTSC,Vận tải
PRC,HNX,Công ty Cổ phần Logistics Portserco,Vận tải
PRE,HNX,Tổng Công ty Cổ phần Tái bảo hiểm Hà Nội,Bảo hiểm phi nhân thọ
PRO,UPCOM,Công ty Cổ phần Procimex Việt Nam,Sản xuất thực phẩm
PRT,UPCOM,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - Công ty cổ phần,Bất động sản
PSB,UPCOM,Công ty Cổ phần Đầu tư Dầu khí Sao Mai Bến Đình,Xây dựng và Vật liệu
PSC,HNX,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Sài Gòn,Vận tải
PSD,HNX,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Bán lẻ
PSE,HNX,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ,Hóa chất
PSG,UPCOM,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,Xây dựng và Vật liệu
PSH,HSX,Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,Nước & Khí đốt
PSI,HNX,Công ty Cổ phần Chứng khoán Dầu khí,Dịch vụ tài chính
PSL,UPCOM,Công ty Cổ phần Chăn nuôi Phú Sơn,Sản xuất thực phẩm
PSN,UPCOM,Công ty Cổ phần Dịch vụ Kỹ thuật PTSC Thanh Hóa,Vận tải
PSP,UPCOM,Công ty Cổ phần Cảng Dịch vụ Dầu khí Đình Vũ,Vận tải
PSW,HNX,Công ty Cổ phần Phân bón và hóa chất dầu khí Tây Nam Bộ,Hóa chất
PTB,HSX,Công ty Cổ phần Phú Tài,Lâm nghiệp và Giấy
PTC,HSX,Công ty Cổ phần Đầu tư ICAPITAL,Xây dựng và Vật liệu
PTD,HNX,Công ty Cổ phần Thiết kế - Xây dựng - Thương mại Phúc Thịnh,Xây dựng và Vật liệu
PTE,UPCOM,Công ty Cổ phần Xi măng Phú Thọ,Xây dựng và Vật liệu
PTG,UPCOM,Công ty Cổ phần May Xuất Khẩu Phan Thiết,Hàng cá nhân
PTH,UPCOM,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hà Tây,Nước & Khí đốt
PTI,HNX,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,Bảo hiểm phi nhân thọ
PTL,HSX,Công ty Cổ phần Victory Group,Bất động sản
PTO,UPCOM,Công ty Cổ phần Dịch vụ - Xây dựng Công trình Bưu điện,Xây dựng và Vật liệu
PTP,UPCOM,Công ty Cổ phần PTP,Viễn thông cố định
PTS,HNX,Công ty Cổ phần Vận tải và Dịch vụ Petrolimex Hải Phòng,Vận tải
PTT,UPCOM,Công ty Cổ phần Vận tải Dầu khí Đông Dương,Vận tải
PTV,UPCOM,Công ty Cổ phần Thương mại Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí"
